date,value
5/1/2010,148
5/2/2010,143
5/3/2010,137
5/4/2010,135
5/5/2010,133
5/6/2010,132
5/7/2010,131
5/8/2010,126
5/9/2010,126
5/10/2010,129
5/11/2010,126
5/12/2010,123
5/13/2010,121
5/14/2010,146
5/15/2010,297
5/16/2010,359
5/17/2010,289
5/18/2010,671
5/19/2010,332
5/20/2010,236
5/21/2010,208
5/22/2010,193
5/23/2010,185
5/24/2010,175
5/25/2010,172
5/26/2010,168
5/27/2010,159
5/28/2010,150
5/29/2010,141
5/30/2010,134
5/31/2010,129
6/1/2010,121
6/2/2010,119
6/3/2010,131
6/4/2010,121
6/5/2010,116
6/6/2010,115
6/7/2010,108
6/8/2010,102
6/9/2010,419
6/10/2010,173
6/11/2010,140
6/12/2010,130
6/13/2010,124
6/14/2010,117
6/15/2010,111
6/16/2010,104
6/17/2010,99
6/18/2010,94
6/19/2010,89
6/20/2010,84
6/21/2010,79
6/22/2010,76
6/23/2010,72
6/24/2010,70
6/25/2010,68
6/26/2010,64
6/27/2010,60
6/28/2010,58
6/29/2010,70
6/30/2010,93
7/1/2010,78
7/2/2010,101
7/3/2010,223
7/4/2010,223
7/5/2010,139
7/6/2010,109
7/7/2010,96
7/8/2010,97
7/9/2010,176
7/10/2010,170
7/11/2010,126
7/12/2010,110
7/13/2010,101
7/14/2010,93
7/15/2010,87
7/16/2010,82
7/17/2010,76
7/18/2010,74
7/19/2010,72
7/20/2010,65
7/21/2010,61
7/22/2010,60
7/23/2010,60
7/24/2010,57
7/25/2010,53
7/26/2010,51
7/27/2010,51
7/28/2010,55
7/29/2010,63
7/30/2010,50
7/31/2010,46
8/1/2010,44
8/2/2010,42
8/3/2010,40
8/4/2010,39
8/5/2010,38
8/6/2010,37
8/7/2010,35
8/8/2010,35
8/9/2010,33
8/10/2010,33
8/11/2010,32
8/12/2010,36
8/13/2010,32
8/14/2010,31
8/15/2010,29
8/16/2010,28
8/17/2010,27
8/18/2010,26
8/19/2010,25
8/20/2010,24
8/21/2010,23
8/22/2010,22
8/23/2010,21
8/24/2010,21
8/25/2010,21
8/26/2010,21
8/27/2010,20
8/28/2010,19
8/29/2010,18
8/30/2010,18
8/31/2010,18
9/1/2010,17
9/2/2010,16
9/3/2010,22
9/4/2010,23
9/5/2010,18
9/6/2010,18
9/7/2010,55
9/8/2010,4080
9/9/2010,2800
9/10/2010,714
9/11/2010,456
9/12/2010,348
9/13/2010,290
9/14/2010,250
9/15/2010,222
9/16/2010,203
9/17/2010,189
9/18/2010,183
9/19/2010,180
9/20/2010,182
9/21/2010,250
9/22/2010,211
9/23/2010,192
9/24/2010,179
9/25/2010,162
9/26/2010,152
9/27/2010,231
9/28/2010,176
9/29/2010,150
9/30/2010,137
