Date,Jacobs Well Spg nr Wimberley (TX),Blanco Rv nr Kyle (TX)
1/26/2010 0:00,26,238
1/27/2010 0:00,25,226
1/28/2010 0:00,26,226
1/29/2010 0:00,55,1390
1/30/2010 0:00,56,1030
1/31/2010 0:00,52,651
2/1/2010 0:00,50,564
2/2/2010 0:00,48,519
2/3/2010 0:00,51,600
2/4/2010 0:00,65,1950
2/5/2010 0:00,70,1950
2/6/2010 0:00,66,1270
2/7/2010 0:00,64,1040
2/8/2010 0:00,64,1020
2/9/2010 0:00,63,935
2/10/2010 0:00,62,778
2/11/2010 0:00,62,759
2/12/2010 0:00,63,955
2/13/2010 0:00,63,784
2/14/2010 0:00,62,702
2/15/2010 0:00,60,626
2/16/2010 0:00,59,569
2/17/2010 0:00,57,536
2/18/2010 0:00,57,505
2/19/2010 0:00,55,477
2/20/2010 0:00,54,456
2/21/2010 0:00,52,439
2/22/2010 0:00,49,410
2/23/2010 0:00,46,396
2/24/2010 0:00,46,429
2/25/2010 0:00,45,393
2/26/2010 0:00,42,363
2/27/2010 0:00,39,334
2/28/2010 0:00,38,316
3/1/2010 0:00,41,355
3/2/2010 0:00,41,378
3/3/2010 0:00,38,327
3/4/2010 0:00,38,305
3/5/2010 0:00,37,292
3/6/2010 0:00,35,280
3/7/2010 0:00,34,274
3/8/2010 0:00,33,279
3/9/2010 0:00,31,290
3/10/2010 0:00,30,278
3/11/2010 0:00,30,259
3/12/2010 0:00,29,243
3/13/2010 0:00,25,230
3/14/2010 0:00,22,223
3/15/2010 0:00,21,220
3/16/2010 0:00,21,229
3/17/2010 0:00,22,252
3/18/2010 0:00,21,250
3/19/2010 0:00,21,227
3/20/2010 0:00,22,242
3/21/2010 0:00,23,278
3/22/2010 0:00,22,263
3/23/2010 0:00,23,241
3/24/2010 0:00,23,237
3/25/2010 0:00,22,237
3/26/2010 0:00,22,230
3/27/2010 0:00,22,220
3/28/2010 0:00,22,213
3/29/2010 0:00,22,204
3/30/2010 0:00,22,200
3/31/2010 0:00,22,198
4/1/2010 0:00,22,194
4/2/2010 0:00,22,192
4/3/2010 0:00,21,189
4/4/2010 0:00,21,188
4/5/2010 0:00,20,185
4/6/2010 0:00,20,183
4/7/2010 0:00,19,181
4/8/2010 0:00,18,174
4/9/2010 0:00,17,167
4/10/2010 0:00,17,163
4/11/2010 0:00,16,161
4/12/2010 0:00,16,161
4/13/2010 0:00,15,158
4/14/2010 0:00,15,158
4/15/2010 0:00,15,167
4/16/2010 0:00,15,182
4/17/2010 0:00,15,202
4/18/2010 0:00,20,215
4/19/2010 0:00,18,218
4/20/2010 0:00,17,192
4/21/2010 0:00,17,183
4/22/2010 0:00,16,179
4/23/2010 0:00,16,180
4/24/2010 0:00,16,173
4/25/2010 0:00,14,169
4/26/2010 0:00,13,169
4/27/2010 0:00,13,161
4/28/2010 0:00,13,153
4/29/2010 0:00,12,150
4/30/2010 0:00,12,150
5/1/2010 0:00,12,148
5/2/2010 0:00,11,143
5/3/2010 0:00,11,137
5/4/2010 0:00,11,135
